x,voltage_V
8.484848484848485084e-01,3.541033850311238851e+00
8.181818181818182323e-01,3.569273733517075442e+00
7.878787878787879562e-01,3.592473761696607593e+00
7.575757575757576801e-01,3.616295932706881100e+00
7.272727272727272929e-01,3.629838397018251950e+00
6.969696969696970168e-01,3.639748302704414407e+00
6.666666666666667407e-01,3.648620734219844675e+00
6.363636363636364646e-01,3.658167464617836817e+00
6.060606060606060774e-01,3.668732382930052438e+00
5.757575757575758013e-01,3.680460495626758810e+00
5.454545454545455252e-01,3.693454575975476217e+00
5.151515151515152491e-01,3.707794968246155065e+00
4.848484848484848619e-01,3.723591095551059382e+00
4.545454545454545858e-01,3.741549393065194629e+00
4.242424242424242542e-01,3.767350458912649636e+00
3.939393939393939781e-01,3.803337178241253280e+00
3.636363636363636465e-01,3.829372596876680745e+00
3.333333333333333703e-01,3.852757071852951132e+00
3.030303030303030387e-01,3.877161332737437682e+00
2.727272727272727626e-01,3.902941266336645842e+00
2.424242424242424310e-01,3.930115565905698549e+00
2.121212121212121271e-01,3.958681061548235736e+00
1.818181818181818232e-01,3.988641578687985412e+00
1.515151515151515194e-01,4.020013253916530971e+00
