time_s,voltage_V,current_A
0.000000000000000000e+00,3.693826358704054513e+00,2.500000000000000000e+00
1.520435996513504889e-02,3.693810984654999352e+00,2.500000000000000000e+00
3.040871993027009779e-02,3.693795723425865152e+00,2.500000000000000000e+00
6.081743986054019557e-02,3.693765430680695072e+00,2.500000000000000000e+00
1.216348797210803911e-01,3.693706492069363190e+00,2.500000000000000000e+00
2.432697594421607823e-01,3.693593307527187619e+00,2.500000000000000000e+00
3.649046391632411734e-01,3.693484390680177754e+00,2.500000000000000000e+00
6.081743986054020112e-01,3.693281100803246453e+00,2.500000000000000000e+00
8.514441580475627935e-01,3.693090501636979273e+00,2.500000000000000000e+00
1.094713917489723576e+00,3.692911049372216148e+00,2.500000000000000000e+00
1.581253436374045140e+00,3.692574600394870288e+00,2.500000000000000000e+00
2.067792955258366483e+00,3.692269836498389246e+00,2.500000000000000000e+00
3.040871993027009612e+00,3.691735041403012563e+00,2.500000000000000000e+00
3.916643127018788473e+00,3.691323094109641545e+00,2.500000000000000000e+00
4.792414261010566889e+00,3.690959180598484934e+00,2.500000000000000000e+00
5.668185395002345750e+00,3.690632600678610320e+00,2.500000000000000000e+00
6.543956528994124611e+00,3.690335561586335800e+00,2.500000000000000000e+00
7.419727662985903471e+00,3.690063526144315098e+00,2.500000000000000000e+00
8.295498796977682332e+00,3.689811532836410279e+00,2.500000000000000000e+00
1.004704106496124005e+01,3.689355986064180914e+00,2.500000000000000000e+00
1.179858333294479777e+01,3.688949037665504083e+00,2.500000000000000000e+00
1.355012560092835550e+01,3.688578511488743494e+00,2.500000000000000000e+00
1.530166786891191322e+01,3.688237955882301300e+00,2.500000000000000000e+00
1.705321013689547271e+01,3.687921979476748824e+00,2.500000000000000000e+00
2.055629467286258816e+01,3.687348461701192015e+00,2.500000000000000000e+00
2.405937920882970360e+01,3.686830157742305047e+00,2.500000000000000000e+00
2.756246374479681904e+01,3.686350204248693530e+00,2.500000000000000000e+00
3.000000000000000000e+01,3.686033000991251640e+00,2.500000000000000000e+00
3.000000000000000355e+01,3.707638642234461379e+00,0.000000000000000000e+00
3.001500000068545759e+01,3.707651678068693890e+00,0.000000000000000000e+00
3.003000000137091163e+01,3.707664599780376768e+00,0.000000000000000000e+00
3.006000000274181971e+01,3.707690225375278814e+00,0.000000000000000000e+00
3.012000000548363232e+01,3.707739915602167535e+00,0.000000000000000000e+00
3.024000001096726109e+01,3.707834877137629714e+00,0.000000000000000000e+00
3.036000001645088986e+01,3.707925844350969502e+00,0.000000000000000000e+00
3.048000002193451863e+01,3.708013149777550588e+00,0.000000000000000000e+00
3.072000003290177261e+01,3.708180014177802075e+00,0.000000000000000000e+00
3.096000004386902660e+01,3.708335515365245527e+00,0.000000000000000000e+00
3.144000006580353457e+01,3.708616478822647444e+00,0.000000000000000000e+00
3.192000008773804254e+01,3.708863178144195416e+00,0.000000000000000000e+00
3.240000010967255406e+01,3.709081978248609079e+00,0.000000000000000000e+00
3.288000013160706203e+01,3.709277934747450267e+00,0.000000000000000000e+00
3.336000015354157000e+01,3.709454330546443579e+00,0.000000000000000000e+00
3.384000017547607797e+01,3.709614629964922194e+00,0.000000000000000000e+00
3.480000021934509391e+01,3.709895877314514756e+00,0.000000000000000000e+00
3.576000026321410985e+01,3.710136965083059568e+00,0.000000000000000000e+00
3.672000030708312579e+01,3.710346955992122275e+00,0.000000000000000000e+00
3.768000035095214173e+01,3.710531119059574223e+00,0.000000000000000000e+00
3.864000039482115767e+01,3.710692437087681483e+00,0.000000000000000000e+00
3.960000043869017361e+01,3.710835236744510546e+00,0.000000000000000000e+00
4.056000048255918955e+01,3.710962161697670680e+00,0.000000000000000000e+00
4.152000052642820549e+01,3.711076960441513695e+00,0.000000000000000000e+00
4.248000057029722143e+01,3.711180195454020669e+00,0.000000000000000000e+00
4.344000061416623737e+01,3.711275589906977146e+00,0.000000000000000000e+00
4.440000065803525331e+01,3.711360872324326099e+00,0.000000000000000000e+00
4.500000000000000000e+01,3.711410213710489181e+00,0.000000000000000000e+00
