capacity_Ah,voltage_V
0.000000000000000000e+00,4.037726548204406463e+00
9.743520044418047440e-06,4.037688615322636565e+00
1.948704008883609488e-05,4.037650710912217278e+00
3.897408017767218976e-05,4.037574981140855002e+00
7.794816035534437952e-05,4.037423893000845254e+00
1.558963207106887590e-04,4.037122746791869332e+00
3.117926414213775181e-04,4.036526226716945942e+00
4.676889621320662500e-04,4.035934300027221866e+00
7.794816035534438223e-04,4.034767772505604810e+00
1.091274244974821395e-03,4.033619399121221250e+00
1.403066886396198967e-03,4.032489111460938247e+00
2.026652169238953895e-03,4.030272899591723856e+00
2.650237452081709039e-03,4.028123648525527400e+00
3.897408017767218895e-03,4.024030942230576002e+00
5.144578583452729184e-03,4.020198037139785185e+00
6.391749149138239473e-03,4.016606648720214778e+00
7.638919714823749763e-03,4.013237221937169252e+00
8.886090280509259184e-03,4.010073984269279634e+00
1.013326084619476861e-02,4.007096003919388139e+00
1.262760197756578918e-02,4.001632444788157272e+00
1.512194310893680976e-02,3.996735533265011409e+00
1.761628424030782861e-02,3.992309261490903705e+00
2.011062537167884745e-02,3.988294031483308189e+00
2.260496650304986629e-02,3.984623592363780276e+00
2.509930763442088514e-02,3.981276705968651353e+00
2.759364876579190398e-02,3.978187709380107684e+00
3.008798989716292283e-02,3.975346130048593274e+00
3.258233102853394514e-02,3.972721683022469641e+00
3.507667215990496745e-02,3.970291997085118041e+00
3.757101329127598976e-02,3.968041554755582290e+00
4.255969555401802745e-02,3.964006118097925579e+00
4.754837781676006514e-02,3.960510717072987852e+00
5.253706007950210283e-02,3.957452080129153948e+00
5.752574234224414051e-02,3.954799754034655557e+00
6.251442460498618514e-02,3.952445269458396915e+00
6.750310686772822977e-02,3.950439447320277964e+00
7.249178913047027439e-02,3.948622326540447425e+00
7.748047139321231902e-02,3.947045130481473318e+00
8.246915365595436365e-02,3.945655799635390260e+00
8.745783591869640827e-02,3.944427382409172900e+00
9.244651818143845290e-02,3.943338986363242871e+00
1.024238827069225283e-01,3.941495400395628401e+00
1.124012472324066036e-01,3.939990523554699919e+00
1.223786117578906790e-01,3.938702339948830122e+00
1.323559762833747544e-01,3.937593673481136758e+00
1.423333408088588437e-01,3.936553247670129707e+00
1.523107053343429329e-01,3.935619388693810450e+00
1.622880698598270222e-01,3.934734176402606920e+00
1.722654343853111114e-01,3.933868955387628041e+00
1.822427989107952007e-01,3.933013902812594331e+00
